City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Quatre Cocos,MU,-20.2078,57.7625,73.09,68,23,16.4,few clouds
257,Klaksvik,FO,62.2266,-6.589,49.12,88,8,4.56,clear sky
258,Xiuyan,CN,40.2928,123.2744,82.96,74,36,7.81,scattered clouds
259,Cockburn Town,TC,21.4612,-71.1419,81.39,86,100,21.25,overcast clouds
260,Kudahuvadhoo,MV,2.6708,72.8944,81.81,74,79,5.39,broken clouds
261,Hofn,IS,64.2539,-15.2082,52.74,79,57,5.91,broken clouds
262,Makakilo City,US,21.3469,-158.0858,80.92,63,1,9.22,clear sky
263,Seoul,KR,37.5683,126.9778,90.01,46,93,3.78,light rain
264,Oranjemund,NA,-28.55,16.4333,58.69,62,0,3.31,clear sky
265,Dongkan,CN,33.9997,119.8308,86.83,61,89,12.21,overcast clouds
266,Bonavista,CA,48.6499,-53.1147,57.11,77,6,8.68,clear sky
267,Mehriz,IR,31.5917,54.4318,86.5,25,8,3.27,clear sky
268,Thinadhoo,MV,0.5333,72.9333,82.04,71,81,4.29,broken clouds
269,Aksu,CN,41.1231,80.2644,72.1,60,100,6.69,overcast clouds
270,Araouane,ML,18.9048,-3.5265,90.79,36,97,12.5,overcast clouds
271,Pecos,US,31.4229,-103.4932,82.49,54,1,5.75,clear sky
272,Bogovarovo,RU,58.9785,47.0246,73.4,56,47,4.09,scattered clouds
273,Broome,US,42.2506,-75.833,64.85,94,1,8.05,clear sky
274,Coquimbo,CL,-29.9533,-71.3436,51.37,88,6,3.0,clear sky
275,Tabas,IR,33.5959,56.9244,95.18,16,0,2.19,clear sky
276,Ormara,PK,25.2088,64.6357,84.54,85,100,20.92,overcast clouds
277,Aklavik,CA,68.2191,-135.0107,57.7,73,100,2.71,overcast clouds
278,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,82,3,7.34,clear sky
279,Panama City,PA,8.9936,-79.5197,81.05,91,75,3.44,broken clouds
280,Pisco,PE,-13.7,-76.2167,59.02,88,45,0.0,smoke
281,Morondava,MG,-20.2833,44.2833,72.28,64,81,8.01,broken clouds
282,Coihaique,CL,-45.5752,-72.0662,38.75,100,95,3.51,moderate rain
283,Sobolevo,RU,54.4299,31.8996,70.97,67,90,4.41,moderate rain
284,Laguna,US,38.421,-121.4238,91.24,46,1,5.01,clear sky
285,Klamath Falls,US,42.2249,-121.7817,73.31,40,1,4.61,clear sky
286,Tendo,JP,38.3536,140.3697,94.73,42,1,3.13,clear sky
287,Tuatapere,NZ,-46.1333,167.6833,45.82,85,22,1.52,few clouds
288,Bilibino,RU,68.0546,166.4372,55.42,45,24,12.62,few clouds
289,Dovers,VC,12.8833,-61.1833,81.57,77,12,18.07,few clouds
290,La Orilla,MX,17.9833,-102.2333,78.75,87,27,3.51,scattered clouds
291,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.9,87,100,6.11,overcast clouds
292,Grobina,LV,56.5352,21.1678,67.86,82,75,4.61,broken clouds
293,Clemencia,CO,10.5665,-75.325,80.19,92,40,7.94,scattered clouds
294,Savelugu,GH,9.6244,-0.8253,75.16,82,99,6.15,overcast clouds
295,Lavrentiya,RU,65.5833,-171.0,45.81,95,100,3.67,light rain
296,Lata,PT,40.1629,-8.3327,61.92,85,100,4.79,overcast clouds
297,Tiksi,RU,71.6872,128.8694,45.95,72,100,4.07,overcast clouds
298,Furano,JP,43.2818,142.4743,88.2,42,2,8.5,clear sky
299,Chongwe,ZM,-15.3292,28.682,48.4,81,2,3.83,clear sky
300,Constitucion,CL,-35.3333,-72.4167,50.25,56,0,7.09,clear sky
301,Troitskoye,RU,52.9821,84.6757,66.13,83,96,3.96,light rain
302,Souillac,MU,-20.5167,57.5167,73.36,69,7,15.93,clear sky
303,Puerto Cabezas,NI,14.0351,-83.3888,77.52,90,80,7.96,broken clouds
304,Raha,IN,26.2333,92.5167,87.87,73,82,3.4,broken clouds
305,Sabang,ID,5.8933,95.3214,83.23,73,97,23.67,overcast clouds
306,Batticaloa,LK,7.7102,81.6924,86.88,55,48,3.62,scattered clouds
307,Salamanca,ES,40.8333,-6.0,58.78,58,0,7.18,clear sky
308,Hambantota,LK,6.1241,81.1185,88.14,66,20,16.11,few clouds
309,High Level,CA,58.5169,-117.136,52.63,88,79,1.25,broken clouds
310,Kaitangata,NZ,-46.2817,169.8464,48.92,81,100,4.5,overcast clouds
311,Roseburg,US,43.2165,-123.3417,75.31,35,1,5.75,clear sky
312,Indramayu,ID,-6.3264,108.32,85.59,61,33,9.73,scattered clouds
313,Marrakesh,MA,31.6315,-8.0083,75.27,41,0,4.61,clear sky
314,Castro,BR,-24.7911,-50.0119,31.41,70,11,4.94,few clouds
315,Shawnee,US,39.05,-95.7669,72.12,85,20,0.0,few clouds
316,Bahia Honda,CU,22.9036,-83.1592,77.7,87,63,6.58,broken clouds
317,Meadow Lake,US,34.8014,-106.5436,76.68,71,100,3.58,overcast clouds
318,Libres,MX,19.4667,-97.6833,53.51,90,88,5.06,overcast clouds
319,Sungurlu,TR,40.1675,34.3739,82.33,45,0,2.59,clear sky
320,Hailey,US,43.5196,-114.3153,71.46,39,1,5.75,clear sky
321,Ugoofaaru,MV,5.6667,73.0,83.25,70,94,8.77,overcast clouds
322,Trairi,BR,-3.2778,-39.2689,78.46,82,20,8.95,few clouds
323,Hervey Bay,AU,-25.2986,152.8535,63.0,45,0,5.61,clear sky
324,Tevaitoa,PF,-16.7833,-151.5,76.66,77,96,21.9,moderate rain
325,Saldanha,ZA,-33.0117,17.9442,57.16,90,17,8.48,few clouds
326,Paamiut,GL,61.994,-49.6678,42.82,98,100,17.52,light rain
327,Manakara,MG,-22.1333,48.0167,69.3,81,92,1.63,overcast clouds
